First_Name Middle_Name,Family_Name,Category,Primary Affiliation,Secondary Affiliations,Researcher ID URL,RID
Heng,Li,Computer Science,"Broad Inst, USA",,,
Henk W,Volberda,Economics & Business,"Rotterdam School of Management, Erasmus University, Netherlands",,http://www.researcherid.com/rid/A-4042-2010,A-4042-2010
Henning,Hermjakob,Biology & Biochemistry,"European Bioinformat Inst EMBL EBI, UK",,,
Henning,Sirringhaus,Materials Science,"University of Cambridge, UK",,,
Henri,Berestycki,Mathematics,"School for Advanced Studies in the Social Sciences (EHESS), France",,,
Henrik,Lund,Engineering,"Aalborg University, Denmark",,,
Henry A,Nasrallah,Psychiatry/Psychology,"University of Cincinnati, USA",,,
Henry J,Curran,Engineering,"National University of Ireland, Galway, Ireland",,,
Henry R,Black,Clinical Medicine,"New York University, USA",,,
Heribert,Hirt,Plant & Animal Science,King Abdullah University of Science and Technology,,,
H-Erich,Wichmann,Molecular Biology & Genetics,"German Res Ctr Environm Hlth, Germany","Klinikum Grosshadern, Germany; University of Munich, Germany",,
Hermann,Katinger,Microbiology,"Univ Nat Resources & Appl Life Sci, Austria",,,
Hermenegildo,Garcia,Chemistry,"King Abdulaziz University, Saudi Arabia","Polytechnic University of Valencia, Spain",,
Herve,Philippe,Biology & Biochemistry,"University of Montreal, Canada",,,
Hesham,El Gamal,Computer Science,"The Ohio State University - Columbus, USA",,,
Hidenori,Takagi,Physics,"The University of Tokyo, Faculty of Science, Japan","Max Planck Institute for Solid State Research (MPI-FKF), Germany",http://www.researcherid.com/rid/B-2935-2010,B-2935-2010
Hideo,Hosono,Physics,"Tokyo Institute of Technology, TOKYO TECH, Japan",,http://www.researcherid.com/rid/J-3489-2013,J-3489-2013
Hideyuki,Yanai,Immunology,"The University of Tokyo, Japan",,,
Hilary,Ranson,Plant & Animal Science,"Liverpool School of Tropical Medicine, UK",,,
Hin-Lap,Yip,Materials Science,"South China University of Technology, China",,,
Hinrich,Gronemeyer,Pharmacology & Toxicology,"Inst Genet & Mol Biol Cell IGBMC, France",,,
Hiram,Clawson,Biology & Biochemistry,"University of California, Santa Cruz, USA",,,
Hiroaki,Hemmi,Immunology,"Osaka University, Japan",,,
Hirohiko,Hirochika,Plant & Animal Science,"Natl Inst Agrobiol Sci, Japan",,,
Hiroo,Kanamori,Geosciences,"California Institute of Technology, USA",,,
Hiroshi,Eisaki,Physics,"Natl Inst Adv Ind Sci & Technol, Japan",,,
Hiroshi,Maeda,Pharmacology & Toxicology,"Sojo University, Japan",,,
Hiroyasu,Furukawa,Chemistry,"University of California, Berkeley, USA",,,
Hitoshi,Sakakibara,Plant & Animal Science,"RIKEN Center for Sustainable Resource Science, Japan","Nagoya University Graduate School of Bioagricutural Sciences, Japan",http://www.researcherid.com/rid/A-6040-2010,A-6040-2010
Hoda Marie,Khouri,Microbiology,"J Craig Venter Inst, USA",,,
Hojjat,Adeli,Engineering,"Ohio State University, United States","King Abdulaziz  University, Saudi Arabia",http://www.researcherid.com/rid/D-1430-2010,D-1430-2010
Honalee,Harrington,Psychiatry/Psychology,"Duke University, USA",,,
Hong,Ding,Physics,"Chinese Academy of Sciences, China",,,
Hong,Fang,Computer Science,"US FDA, USA",,,
Hong,Liu,Environment/Ecology,"Oregon State University, USA",,,
Hong-Bin,Shen,Biology & Biochemistry,"Shanghai Jiao Tong University, China","Minist Educ China, China; University of Michigan - Ann Arbor, USA",,
Hong-Cai Joe,Zhou,Chemistry,"Texas A&M University - College Station, USA",,,
Hongjie,Dai,Chemistry,"Stanford University, USA",,,
Hongjun,Song,Neuroscience & Behavior,"The Johns Hopkins University, USA",,,
Hong-Kun,Xu,Mathematics,"National Sun Yat-Sen University, Taiwan","King Abdulaziz University, Saudi Arabia",,
Hongwu,Ma,Computer Science,"Tianjin Institute of Industrial Biotechnology, Chinese Academy of Sciences, China",,http://www.researcherid.com/rid/I-5263-2013,I-5263-2013
Horst,Weller,Chemistry,"University of Hamburg, Germany","King Abdulaziz University, Saudi Arabia",,
Howard H,Feldman,Neuroscience & Behavior,"University of British Columbia, Canada",,,
Howard I,Scher,Clinical Medicine,"Mem Sloan Kettering Canc Ctr, USA","Cornell University, USA",,
Howard J,Brewington,Space Science,"Apache Point Observ, USA",,,
Howard V,Cornell,Environment/Ecology,"University of California Davis, United States",,http://www.researcherid.com/rid/H-3676-2014,H-3676-2014
Howell,Wechsler,"Social Sciences, general","Alliance for a Healthier Generation, USA",,,
Hreinn,Stefansson,Molecular Biology & Genetics,"deCODE Genet, Iceland",,,
Hua,Zhang,Materials Science,"Nanyang Technological University, Singapore",,,
Hua Chun,Zeng,Materials Science,"National University of Singapore (NUS), Singapore",,http://www.researcherid.com/rid/B-8834-2008,B-8834-2008
Huanming,Yang,Molecular Biology & Genetics,"BGI Shenzhen, China","King Abdulaziz University, Saudi Arabia; James D. Watson Institute of Genome Sciences, China",,
Hubertus,Fischer,Geosciences,"University of Bern, Switzerland",,,
Hude D,Quan,"Social Sciences, general","The University of Calgary, Canada",,,
Hugh,Calkins,Clinical Medicine,"The Johns Hopkins University, USA",,,
Hugh,Coe,Geosciences,"The University of Manchester, UK",,,
Hugh A,Sampson,Immunology,"Icahn School of Medicine at Mount Sinai, USA",,,
Hugo A,Katus,Clinical Medicine,"University of Heidelberg, Germany",,,
Hui,Zou,Mathematics,"University of Minnesota, Twin Cities, USA","King Abdulaziz University, Saudi Arabia",,
Huijun,Gao,Engineering,"Harbin Institute of Technology, China","King Abdulaziz University, Saudi Arabia",,
Hui-Ming,Cheng,Chemistry,"Chinese Academy of Sciences, China","King Abdulaziz University, Saudi Arabia",,
Hui-Ming,Cheng,Materials Science,"Chinese Academy of Sciences, China","King Abdulaziz University, Saudi Arabia",,
Hung,Nguyen-Xuan,Computer Science,"University of Science Ho Chi Minh City, Vietnam","Ton Duc Thang University, Vietnam",,
I Stuart,Wood,Agricultural Sciences,"University of Liverpool, UK",,,
Michael A,McGuire,Physics,"Oak Ridge Natl Lab, USA",,,
Michael A,Quail,Microbiology,"Wellcome Trust Sanger Inst, UK",,,
Michael A,Quail,Molecular Biology & Genetics,"Wellcome Trust Sanger Inst, UK",,,
Michael A,Strauss,Space Science,"Princeton University, USA",,,
Akihisa,Inoue,Materials Science,"Tohoku University, Japan","King Abdulaziz University (KAU), Jeddah, Saudi Arabia, Saudi Arabia",http://www.researcherid.com/rid/A-3626-2010,A-3626-2010
Alain,Campargue,Engineering,"Joseph Fourier University (Grenoble 1), France",,,
Alan,Aderem,Immunology,"Seattle BioMed, USA",,,
Alan,Ashworth,Clinical Medicine,"Inst Canc Res, UK",,,
Alan,Bridge,Biology & Biochemistry,"Swiss Inst Bioinformat, Switzerland","CMU, Switzerland",,
Alan,Crozier,Agricultural Sciences,"The University of Glasgow, UK",,,
Alan,Sher,Immunology,"NIAID, USA",,,
Alan A,Jackson,Agricultural Sciences,"University of Southampton, UK",,,
Alan B,Krueger,Economics & Business,"Princeton University, USA",,,
Alan C,Evans,Neuroscience & Behavior,"McGill University, Canada",,,
Alan Conrad,Bovik,Engineering,"The University of Texas at Austin, USA",,,
Alan F,Cowman,Microbiology,The University of Melbourne,"Walter & Eliza Hall Inst Med Res, Australia",,
Alan G,Barr,Agricultural Sciences,"Meteorol Serv Canada, Canada",,,
Alan J,Heeger,Chemistry,"University of California, Santa Barbara, USA",,,
Alan J,Heeger,Materials Science,"University of California, Santa Barbara, USA",,,
Alan J,Kogut,Space Science,"NASA, USA",,,
Alan M,Zaslavsky,Psychiatry/Psychology,"Harvard University, USA",,,
Alan S,Go,Clinical Medicine,"Kaiser Permanente No Calif, USA","University of California, San Francisco, USA",,
Alan S,Perelson,Mathematics,"Los Alamos Natl Lab, USA",,,
Albert,Hofman,Clinical Medicine,"Erasmus MC, Netherlands",,,
Albert,Hofman,Molecular Biology & Genetics,"Erasmus MC, Netherlands","Netherlands Genom Initiat, Netherlands",,
Albert,Schoemig,Clinical Medicine,"Deutsch Herzzentrum Munich, Germany","Technical University Munich, Germany",,
Albert Dme,Osterhaus,Microbiology,"Erasmus Med Ctr, Netherlands",,,
Alberte,Bondeau,Environment/Ecology,"Institut Méditerranéen de Biodiversité et d'Ecologie marine et continentale (IMBE), Aix Marseille Université, CNRS, IRD, Avignon Université, France",,http://www.researcherid.com/rid/E-9909-2012,E-9909-2012
Albert-Laszlo,Barabasi,Physics,"Northeastern University, USA","Harvard University, USA; Dana Farber Canc Inst, USA",,
Alberto,Alesina,Economics & Business,"Harvard University, USA",,,
Alberto,Bardelli,Clinical Medicine,"University of Turin, Italy","Inst Canc Res & Treatment IRCC, Italy; FIRC Inst Mol Oncol IFOM, Italy",,
Alberto,Mantovani,Immunology,"University of Milan (93%), Italy","King Abduluziz University (7%), Saudi Arabia",,
Aldo Pietro,Maggioni,Clinical Medicine,"Assoc Nazl Med Cardiol Osped ANMCO Res Ctr, Italy",,,
Aldo R,Boccaccini,Materials Science,"University of Erlangen - Nuremberg, Germany","Imperial College London, United Kingdom",http://www.researcherid.com/rid/C-7905-2013,C-7905-2013
Alec,Vahanian,Clinical Medicine,"Hop Bichat Claude Bernard, France",,,
Alessandro,Reali,Computer Science,"University of Pavia, Italy",,http://www.researcherid.com/rid/D-5065-2011,D-5065-2011
Alex,Bateman,Biology & Biochemistry,"European Bioinformat Inst, UK",,,
Alex B,Guenther,Geosciences,"Pacific Northwest National Laboratory (PNNL), United States","Washington state University, United States",http://www.researcherid.com/rid/B-1617-2008,B-1617-2008
Alex K-Y,Jen,Materials Science,"University of Washington, USA",,,
Alexander,Stark,Molecular Biology & Genetics,"The Research Institute of Molecular Pathology, IMP, Austria",,http://www.researcherid.com/rid/D-1473-2012,D-1473-2012
Alexander S,Szalay,Space Science,"The Johns Hopkins University, USA",,,
Alexander V,Kabanov,Pharmacology & Toxicology,"University of North Carolina at Chapel Hill, USA","Moscow State University, Russia",,
Alexander Y,Rudensky,Immunology,"Memorial Sloan Kettering Inst, USA",,,
Alexandra J,Lansky,Clinical Medicine,"Yale University, USA",,,
Alexandre,Souvorov,Biology & Biochemistry,"NIH, USA",,,
Alexandros,Makriyannis,Pharmacology & Toxicology,"Northeastern University, USA","King Abdulaziz University, Saudi Arabia",,
Alexei J,Drummond,Biology & Biochemistry,"The University of Auckland, New Zealand",,,
Alexei V,Filippenko,Space Science,"University of California, Berkeley, USA",,,
Alfonso,Valencia,Computer Science,"Spanish Natl Canc Res Ctr, Spain",,,
Alfred,Wiedensohler,Geosciences,"Leibniz Inst Tropospher Res, Germany",,,
Alfred H,Schinkel,Pharmacology & Toxicology,"Netherlands Canc Inst, Netherlands",,,
Ali,Khademhosseini,Materials Science,"Harvard University (75%), USA","King Abdulaziz University (15%), Saudi Arabia; Massachusetts Institute of Technology (MIT) (5%), USA; Tohoku University (5%), Japan",,
Ali,Yazdani,Physics,"Princeton University, USA",,,
Ali H,Nayfeh,Engineering,"The University of Jordan, Jordan","Virginia Polytechnic Institute and State University, USA",,
Ali H,Sayed,Engineering,"University of California, Los Angeles, USA",,,
Alice E,Shapley,Space Science,"University of California, Los Angeles, USA",,,
Alice K,Jacobs,Clinical Medicine,"Boston Med Ctr, USA",,,
Alisdair R,Fernie,Plant & Animal Science,"Max Planck Inst Mol Plant Physiol, Germany",,,
Alison L,Kitson,"Social Sciences, general","The University of Adelaide, Australia",,,
Alison M,Smith,Plant & Animal Science,"John Innes Ctr, UK",,,
Alison R,Yung,Psychiatry/Psychology,"The University of Manchester, UK","University of Melbourne, Australia",,
Alistair S,Hall,Molecular Biology & Genetics,"University of Leeds, UK",,,
Allan H,MacDonald,Physics,"The University of Texas at Austin, USA",,,
Allan H,Young,Psychiatry/Psychology,"King's College London, UK",,,
Allan L,Reiss,Neuroscience & Behavior,"Stanford University, USA",,,
Allan S,Hoffman,Pharmacology & Toxicology,"University of Washington, USA",,,
Allison C,Aiken,Geosciences,"Los Alamos Natl Lab, USA",,,
Alois,Furstner,Chemistry,"Max Planck Inst Kohlenforsch, Germany",,,
Alvaro,Avezum,Clinical Medicine,"Hosp Coracao, Brazil",,,
Alvio,Renzini,Space Science,"Osserv Astron Padova, Italy","University of Padua, Italy",,
Aman U,Buzdar,Clinical Medicine,"The University of Texas M. D. Anderson Cancer Center, USA",,,
Amir,Yacoby,Physics,"Harvard University, USA",,,
Amos,Bairoch,Biology & Biochemistry,"University of Geneva, Switzerland",,,
Anders,Hagfeldt,Chemistry,"Uppsala University, Sweden","King Abdulaziz University, Saudi Arabia",,
Anders,Lindroth,Agricultural Sciences,"Lund University, Sweden",,,
Anders,Malmberg,"Social Sciences, general","Uppsala University, Sweden",,,
Anders M,Dale,Neuroscience & Behavior,"University of California, San Diego, USA",,,
Andre G,Uitterlinden,Clinical Medicine,"Erasmus MC, Netherlands","Netherlands Genom Initiat, Netherlands",,
Andre G,Uitterlinden,Molecular Biology & Genetics,"Erasmus MC, Netherlands","Netherlands Genom Initiat, Netherlands",,
Andre J W,Van Der Kouwe,Neuroscience & Behavior,"Massachusetts Gen Hosp, USA",,,
Andre K,Geim,Physics,"University of Manchester, United Kingdom",,http://www.researcherid.com/rid/J-7888-2012,J-7888-2012
Andre P C,Faaij,Engineering,"University of Groningen, Netherlands",,http://www.researcherid.com/rid/E-8424-2014,E-8424-2014
Andre Sh,Prevot,Geosciences,"Paul Scherrer Institute, Switzerland",,http://www.researcherid.com/rid/C-6677-2008,C-6677-2008
Andrea,Cimatti,Space Science,"University of Bologna, Italy",,,
Andrea,Scozzafava,Pharmacology & Toxicology,"University of Florence, Italy",,,
Andrea C,Ferrari,Physics,"University of Cambridge, UK",,,
Andrea J,Goldsmith,Computer Science,"Stanford University, USA",,,
Andrea L,Lacaita,Engineering,"Polytechnic Institute of Milan, Italy",,,
Andrea Z,Lacroix,Clinical Medicine,"University of California, San Diego, USA",,,
Andreas,Hochhaus,Clinical Medicine,"Univ Klinikum Jena, Germany",,,
Andreas,Meyer-Lindenberg,Neuroscience & Behavior,"University of Heidelberg, Germany",,,
Andreas,Minikin,Geosciences,"Deutsch Zentrum Luft & Raumfahrt, Germany","DLR, Germany",,
Andreas,Rosenwald,Clinical Medicine,"University of Wuerzburg, Germany",,,
Andreas,Sjodin,Environment/Ecology,"Ctr Dis Control & Prevent, USA",,,
Andreas,Stein,Materials Science,"University of Minnesota, Twin Cities, USA",,,
Andreas,Stohl,Geosciences,"Norwegian Institute for Air Research (NILU), Norway",,http://www.researcherid.com/rid/A-7535-2008,A-7535-2008
Andreas M,Zeiher,Clinical Medicine,"University of Frankfurt, Germany",,,
Andrei,Zelevinsky,Mathematics,"Northeastern University, USA",,,
Andrei,Shleifer,Economics & Business,"Harvard University, USA",,,
Andres,Alastuey,Geosciences,"CSIC, Spain",,,
Andres M,Lozano,Neuroscience & Behavior,"University of Toronto, Canada",,,
Andrew,Ang,Economics & Business,"Columbia University, USA",,,
Andrew,Balmford,Environment/Ecology,"University of Cambridge, UK",,,
Andrew,Gettelman,Geosciences,"Natl Ctr Atmospher Res, USA",,,
Andrew A,Nierenberg,Psychiatry/Psychology,"Massachusetts General Hospital, USA","Harvard University, USA",,
Andrew B,Bernard,Economics & Business,"Tuck School of Business at Dartmouth, United States",,http://www.researcherid.com/rid/G-9809-2011,G-9809-2011
Andrew C,Leon,Psychiatry/Psychology,"Cornell University, USA",,,
Andrew D,Morris,Molecular Biology & Genetics,"The University of Dundee, UK",,,
Andrew D,Richardson,Agricultural Sciences,"Harvard University, USA",,,
Andrew E,Grulich,"Social Sciences, general","University of New South Wales, Australia",,,
Andrew E,Suyker,Agricultural Sciences,"University of Nebraska - Lincoln, USA",,,
Andrew G,Clark,Molecular Biology & Genetics,"Cornell University, USA",,,
Andrew H,Knoll,Geosciences,"Harvard University, USA",,,
Andrew I,Cooper,Materials Science,"University of Liverpool, United Kingdom",,http://www.researcherid.com/rid/D-9662-2011,D-9662-2011
Andrew J,Lees,Neuroscience & Behavior,"UCL Institute of Neurology, England",,http://www.researcherid.com/rid/A-6605-2009,A-6605-2009
Andrew J,Weaver,Geosciences,"University of Victoria (UVic), Canada",,http://www.researcherid.com/rid/E-7590-2011,E-7590-2011
Andrew S,Levey,Clinical Medicine,"Tufts Med Ctr, USA",,,
Andrew T,Hattersley,Molecular Biology & Genetics,"University of Exeter, UK",,,
Andrey V,Kuznetsov,Engineering,"North Carolina State University - Raleigh, USA",,,
Andrzej,Budaj,Clinical Medicine,"Grochowski Hosp, Poland",,,
Andy,Hector,Environment/Ecology,"University of Zurich, Switzerland",,,
Andy,Pohl,Biology & Biochemistry,"Ctr Genom Regulat CRG, Spain","University of California, Santa Cruz, USA",,
Angela,Fagerlin,"Social Sciences, general","University of Michigan - Ann Arbor, USA",,,
Angela F,Casini,Pharmacology & Toxicology,"University of Groningen (RuG), Netherlands",,http://www.researcherid.com/rid/E-6731-2014,E-6731-2014
Angela R,Laird,Neuroscience & Behavior,"Florida International University, USA",,,
Angelika Schaffrath,Rosario,"Social Sciences, general","Robert Koch Inst, Germany",,,
Angelo A,Izzo,Pharmacology & Toxicology,"Endocannabinoid Res Grp, Italy","University of Naples Federico II, Italy",,
Angie,Titchen,"Social Sciences, general","Fontys University of Applied Sciences, Netherlands",,,
Angie S,Hinrichs,Biology & Biochemistry,"University of California, Santa Cruz, USA",,,
Angus,Deaton,Economics & Business,"Princeton University, USA",,,
Angus S,Murphy,Plant & Animal Science,"University of Maryland, United States",,http://www.researcherid.com/rid/H-2734-2014,H-2734-2014
Anil K,Jain,Engineering,"Korea University, South Korea","Michigan State University, USA",,
Anil K,Patri,Pharmacology & Toxicology,"NCI, USA",,,
Aniruddha R,Thakar,Space Science,"The Johns Hopkins University, USA",,,
Ann,Olincy,Psychiatry/Psychology,"Denver VA Med Ctr, USA","University of Colorado at Denver, USA",,
Ann M,Middlebrook,Geosciences,"NOAA Earth System Research Laboratory, ESRL, United States",,http://www.researcherid.com/rid/E-4831-2011,E-4831-2011
Ann S,Zweig,Biology & Biochemistry,"University of California, Santa Cruz, USA",,,
Anna S F,Lok,Clinical Medicine,"University of Michigan - Ann Arbor, USA",,,
Anna-Liisa,Hartikainen,Molecular Biology & Genetics,"University of Oulu, Finland",,,
Annarosa,Leri,Clinical Medicine,"Harvard University, USA",,,
Anne B,Newman,Clinical Medicine,"University of Pittsburgh, USA",,,
Anne B,Newman,"Social Sciences, general","University of Pittsburgh, USA",,,
Anne U,Jackson,Molecular Biology & Genetics,"University of Michigan - Ann Arbor, USA",,,
Anthony E,Lang,Neuroscience & Behavior,"University of Toronto, Canada",,,
Anthony F J,Van Raan,"Social Sciences, general","Leiden University, Netherlands",,,
Anthony J,Coyle,Immunology,"Pfizer, USA","McMaster University, Canada",,
Antoine,Guisan,Environment/Ecology,"University of Lausanne, Switzerland",,http://www.researcherid.com/rid/A-1057-2011,A-1057-2011
Antoine,Kahn,Engineering,"Princeton University, USA",,,
Anton,Zeilinger,Physics,"University of Vienna, Austria","Austrian Acad Sci, Austria",,
Anton M,Koekemoer,Space Science,"Space Telescope Science Institute (STScI), United States",,http://www.researcherid.com/rid/F-8400-2014,F-8400-2014
Antonia,Trichopoulou,"Social Sciences, general","Hellenic Health Foundation, Greece","National and Kapodistrian University of Athens, Greece",,
Antonia M,Calafat,Environment/Ecology,"Ctr Dis Control & Prevent, USA",,,
Antonio,Colombo,Clinical Medicine,"Ist Sci San Raffaele, Italy",,,
Antonio,Facchetti,Chemistry,Polyera Corporation,"Northwestern University, USA and King Abdulaziz University, Saudi Arabia",,
Antonio,Facchetti,Materials Science,Polyera Corporation,"Northwestern University, USA and King Abdulaziz University, Saudi Arabia",,
Antonio,Lanzavecchia,Immunology,"Swiss Federal Institute of Technology Zurich, Switzerland","Inst Res Biomed, Switzerland",,
Antonio,Palumbo,Clinical Medicine,"University of Turin, Italy",,,
Antonio H,Castro-Netto,Physics,"National University of Singapore (NUS), Singapore, Singapore",,http://www.researcherid.com/rid/C-8363-2014,C-8363-2014
Antonio M,Echavarren,Chemistry,"Imam Khomeini Int. University, Iran","Islamic Azad University, Science and Research Branch, Iran",http://www.researcherid.com/rid/E-7246-2012,E-7246-2012
Antonios G,Mikos,Pharmacology & Toxicology,"Rice University, USA",,,
Aravinda,Chakravarti,Molecular Biology & Genetics,"The Johns Hopkins University, USA",,,
Arek,Kasprzyk,Biology & Biochemistry,"San Raffaele Scientific Institute (50%), Italy","King Abdulaziz University (50%), Saudi Arabia",,
Ari,Laaksonen,Geosciences,"Finnish Meteorological Institute, FMI, Finland","University of Eastern Finland, UEF, Finland",http://www.researcherid.com/rid/B-5094-2011,B-5094-2011
Arian,Laurence,Immunology,"NIAMSD, USA",,,
Arian F A,Smit,Molecular Biology & Genetics,"Inst Syst Biol, USA",,,
Ariel,Shamir,Computer Science,"Interdisciplinary Ctr, Israel",,,
Arkady A,Tseytlin,Physics,"Imperial College London, UK","Lebedev Inst, Russia",,
Arlene H,Sharpe,Immunology,"Harvard University, USA",,,
Armin,Falk,Economics & Business,"University of Bonn, Germany",,,
Arne,Elofsson,Computer Science,"Stockholm University, Sweden",,,
Arnold,Ganser,Clinical Medicine,"Hannover Medical School, Germany",,http://www.researcherid.com/rid/H-2692-2014,H-2692-2014
Arnold B,Bakker,Psychiatry/Psychology,"Erasmus University Rotterdam, Netherlands","King Abdulaziz University, Saudi Arabia",http://www.researcherid.com/rid/F-8494-2010,F-8494-2010
Arnold R,Kriegstein,Neuroscience & Behavior,"University of California, San Francisco, USA","Eli & Edythe Broad Ctr Regenerat Med & Stem Cell, USA",,
Arogyaswami J,Paulraj,Computer Science,"Stanford University, USA",,,
Aron,Marchler-Bauer,Biology & Biochemistry,"NIH, USA",,,
Arthur,Christopoulos,Pharmacology & Toxicology,"Monash University Parkville, Australia",,http://www.researcherid.com/rid/B-6207-2013,B-6207-2013
Arthur C,Gossard,Physics,"University of California, Santa Barbara, USA",,,
Arthur J,Nozik,Chemistry,"University of Colorado at Boulder, USA","National Renewable Energy Laboratory, USA",,
Arthur L,Delcher,Computer Science,"University of Maryland, College Park, USA",,,
Arthur W,Toga,Neuroscience & Behavior,"University of California, Los Angeles, USA",,,
Arturo,Alvarez-Buylla,Neuroscience & Behavior,"University of California, San Francisco, USA",,,
Arul M,Chinnaiyan,Clinical Medicine,"University of Michigan - Ann Arbor, USA",,,
Ary A,Hoffmann,Environment/Ecology,"University of Melbourne, Australia",,http://www.researcherid.com/rid/C-2961-2011,C-2961-2011
Asaf A,Salamov,Biology & Biochemistry,"US DOE Joint Genome Institute, USA",,,
Asaf A,Salamov,Plant & Animal Science,"US DOE Joint Genome Institute, USA",,,
Asger,Lunde,Economics & Business,"Aarhus University, Denmark",,,
Ashish K,Jha,"Social Sciences, general","Harvard University, USA",,,
Ashley I,Bush,Neuroscience & Behavior,"Florey Institute of Neuroscience and Mental Health, Australia","University of Melbourne, Australia",http://www.researcherid.com/rid/A-1186-2007,A-1186-2007
Asif T,Chinwalla,Molecular Biology & Genetics,"Monsanto, USA",,,
Athena S,Sefat,Physics,"Oak Ridge Natl Lab, USA",,,
Atsuko,Nitta,Space Science,"Gemini Observ, USA",,,
Atsushi,Hanada,Plant & Animal Science,"Tohoku University, Japan",,,
Augustin,Scalbert,Agricultural Sciences,"Int Agcy Res Canc IARC, France",,,
Augustine,Kong,Molecular Biology & Genetics,"deCODE Genet, Iceland",,,
Avelino,Corma,Chemistry,"Instituto de Tecnologia Quimica (UPV-CSIC), Spain","King Fahd University of Petroleum and Minerals, Saudi Arabia",http://www.researcherid.com/rid/A-3040-2013,A-3040-2013
Aviv,Regev,Molecular Biology & Genetics,"Broad Inst MIT & Harvard, USA","Massachusetts Institute of Technology (MIT), USA",,
Avshalom,Caspi,Psychiatry/Psychology,"Duke University, United States","Institute of Psychiatry, King's College London, United Kingdom",http://www.researcherid.com/rid/D-5294-2011,D-5294-2011
Axel,Zettl,Physics,"University of California, Berkeley, USA",,,
Ayalew,Tefferi,Clinical Medicine,"Mayo Medical School, USA",,,
Ayhan,Demirbas,Engineering,"King Abdulaziz University, Saudi Arabia",,,
Ayhan,Demirbas,"Social Sciences, general","King Abdulaziz University, Saudi Arabia",,,
Bai,Lu,Neuroscience & Behavior,"Tsinghua University, China",,,
Bali,Pulendran,Immunology,"Emory University, USA",,,
Banglin,Chen,Chemistry,"University of Texas at San Antonio, United States","King Abdulaziz University, Jeddah, Saudi Arabia, Saudi Arabia",http://www.researcherid.com/rid/F-5461-2010,F-5461-2010
Baoshan,Xing,Environment/Ecology,"University of Massachusetts Amherst, USA",,,
Barbara,Starfield,"Social Sciences, general","The Johns Hopkins University, USA",,,
Barbara V,Howard,Clinical Medicine,"Medstar Res Inst, USA","Georgetown Howard Univ Ctr Clin & Translat Sci, USA",,
Barclay G,Barrell,Microbiology,"Wellcome Trust Sanger Inst, UK",,,
Barry J,Everitt,Neuroscience & Behavior,"University of Cambridge, UK",,,
Barry M,Popkin,"Social Sciences, general","University of North Carolina at Chapel Hill, USA",,,
Barry M,Trost,Chemistry,"Stanford University, USA",,,
